,skootar_id,normal_job,car_night,rbh_night,skt_job,night,full_time,purchasing_service,cheque_collecting,promptpay,pay_lte_100,need_food_box,doc_processing,schedule,level
9694,SE1446,43,43,0,0,0,0,0,0,0,0,0,0,0,0.0
9695,SE0477,89,89,1,0,0,0,0,0,0,0,0,0,0,0.0
9696,SB3128,93,93,0,0,0,0,0,0,0,0,0,0,0,0.0
9697,SE1263,195,195,24,0,0,0,0,0,0,0,0,0,0,0.0
9698,SE1127,217,217,0,0,0,0,0,0,0,0,0,0,0,0.0
9699,SE0864,6,6,0,0,0,0,0,0,0,0,0,0,0,0.0
9700,SE1360,624,624,42,0,0,0,0,0,0,0,0,0,0,1.0
9701,SE0638,169,169,7,0,0,0,0,0,0,0,0,0,0,0.0
9702,SA5431,398,398,19,0,0,0,0,0,0,0,0,0,0,0.0
9703,SE1452,287,287,0,0,0,0,0,0,0,0,0,0,0,0.0
9704,SE1216,86,86,6,0,0,0,0,0,0,0,0,0,0,0.0
9705,SE0323,125,125,3,0,0,0,0,0,0,0,0,0,0,0.0
9706,SE1060,341,341,1,1,0,0,0,0,0,1,0,0,0,0.0
9707,SE0804,204,204,0,0,0,0,0,0,0,0,0,0,0,0.0
9708,SE1005,163,163,6,0,0,0,0,0,0,0,0,0,0,0.0
9709,SE0684,220,220,89,0,0,0,0,0,0,0,0,0,0,0.0
9710,SE1379,448,448,12,0,0,0,0,0,0,0,0,0,0,0.0
9711,SD5896,36,36,0,0,0,0,0,0,0,0,0,0,0,0.0
9712,SD1458,75,75,4,0,0,0,0,0,0,0,0,0,0,0.0
9713,SE1161,23,23,0,0,0,0,0,0,0,0,0,0,0,0.0
9714,SE0848,220,220,0,0,0,0,0,0,0,0,0,0,0,0.0
9715,SD3867,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9716,SD5872,150,150,2,0,0,0,0,0,0,0,0,0,0,0.0
9717,SE1027,44,44,5,0,0,0,0,0,0,0,0,0,0,0.0
9718,SD9669,43,43,1,0,0,0,0,0,0,0,0,0,0,0.0
9719,SA0778,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
9720,SE0523,57,57,0,3,0,0,0,0,0,2,2,0,0,0.0
9721,SE0867,640,640,0,0,0,0,0,0,0,0,0,0,0,1.0
9722,SA0837,36,36,2,0,0,0,0,0,0,0,0,0,0,0.0
9723,SE1157,395,395,23,1,0,0,0,0,0,1,0,0,0,0.0
9724,SE1288,211,211,8,0,0,0,0,0,0,0,0,0,0,0.0
9725,SB8061,21,21,0,0,0,0,0,0,0,0,0,0,0,0.0
9726,SE0701,13,13,0,0,0,0,0,0,0,0,0,0,0,0.0
9727,SD8590,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0
9728,SD2386,64,64,2,0,0,0,0,0,0,0,0,0,0,0.0
9729,SE1075,291,291,6,0,0,0,0,0,0,0,0,0,0,0.0
9730,SK9472,176,176,10,74,2,0,0,0,0,18,4,3,6,1.0
9731,SE1351,194,194,1,0,0,0,0,0,0,0,0,0,0,0.0
9732,SE0256,62,62,5,0,0,0,0,0,0,0,0,0,0,0.0
9733,SD4219,75,75,10,0,0,0,0,0,0,0,0,0,0,0.0
9734,SC2774,33,33,13,0,0,0,0,0,0,0,0,0,0,1.0
9735,SB9834,166,166,21,0,0,0,0,0,0,0,0,0,0,0.0
9736,SE1322,87,87,6,0,0,0,0,0,0,0,0,0,0,0.0
9737,SE0478,44,44,17,0,0,0,0,0,0,0,0,0,0,0.0
9738,SB6579,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0
9739,SD1961,31,31,0,0,0,0,0,0,0,0,0,0,0,0.0
9740,SE0954,48,48,0,0,0,0,0,0,0,0,0,0,0,0.0
9741,SE1153,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0
9742,SE0735,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9743,SK6561,10,10,0,1,0,0,0,0,0,1,0,0,0,0.0
9744,SD9204,459,459,5,0,0,0,0,0,0,0,0,0,0,1.0
9745,SE0861,159,159,0,0,0,0,0,0,0,0,0,0,0,0.0
9746,SE0654,73,73,2,0,0,0,0,0,0,0,0,0,0,0.0
9747,SE0652,25,25,0,0,0,0,0,0,0,0,0,0,0,0.0
9748,SE1380,122,122,3,0,0,0,0,0,0,0,0,0,0,0.0
9749,SD4702,81,81,6,1,0,0,0,0,0,0,0,0,1,0.0
9750,SA1488,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0
9751,SB5988,435,435,69,0,0,0,0,0,0,0,0,0,0,1.0
9752,SD6131,221,221,17,0,0,0,0,0,0,0,0,0,0,0.0
9753,SE0785,108,108,1,0,0,0,0,0,0,0,0,0,0,0.0
9754,SE1021,41,41,0,0,0,0,0,0,0,0,0,0,0,0.0
9755,SE0967,11,11,0,0,0,0,0,0,0,0,0,0,0,0.0
9756,SE0768,204,204,0,0,0,0,0,0,0,0,0,0,0,0.0
9757,SE0793,56,56,1,0,0,0,0,0,0,0,0,0,0,0.0
9758,SE0906,160,160,3,0,0,0,0,0,0,0,0,0,0,0.0
9759,SE0838,112,112,3,0,0,0,0,0,0,0,0,0,0,0.0
9760,SC2524,196,196,30,0,0,0,0,0,0,0,0,0,0,
9761,SE1234,63,63,4,0,0,0,0,0,0,0,0,0,0,0.0
9762,SK7256,64,64,24,0,0,0,0,0,0,0,0,0,0,0.0
9763,SE1156,74,74,0,0,0,0,0,0,0,0,0,0,0,0.0
9764,SE1268,565,565,103,0,0,0,0,0,0,0,0,0,0,1.0
9765,SK9896,34,34,1,0,0,0,0,0,0,0,0,0,0,0.0
9766,SE0679,375,375,44,0,0,0,0,0,0,0,0,0,0,0.0
9767,SE1146,107,107,34,0,0,0,0,0,0,0,0,0,0,0.0
9768,SE0588,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0
9769,SB9762,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9770,SE0598,24,24,7,0,0,0,0,0,0,0,0,0,0,0.0
9771,SB0273,13,13,4,0,0,0,0,0,0,0,0,0,0,0.0
9772,SE0705,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0
9773,SK4790,326,326,0,0,0,0,0,0,0,0,0,0,0,0.0
9774,SD8953,31,31,0,0,0,0,0,0,0,0,0,0,0,0.0
9775,SK2369,201,201,0,134,0,0,0,5,2,23,0,20,9,1.0
9776,SD8751,35,35,1,0,0,0,0,0,0,0,0,0,0,0.0
9777,SA1373,163,163,7,0,0,0,0,0,0,0,0,0,0,0.0
9778,SE0792,276,276,0,0,0,0,0,0,0,0,0,0,0,0.0
9779,SD4473,39,39,0,0,0,0,0,0,0,0,0,0,0,0.0
9780,SK3386,20,20,0,0,0,0,0,0,0,0,0,0,0,0.0
9781,SE0584,157,157,0,0,0,0,0,0,0,0,0,0,0,0.0
9782,SE1192,51,51,1,0,0,0,0,0,0,0,0,0,0,0.0
9783,SE1299,135,135,9,0,0,0,0,0,0,0,0,0,0,0.0
9784,SB0531,188,188,0,0,0,0,0,0,0,0,0,0,0,0.0
9785,SE1167,37,37,0,0,0,0,0,0,0,0,0,0,0,0.0
9786,SB4806,471,471,0,0,0,0,0,0,0,0,0,0,0,0.0
9787,SE1087,190,190,5,0,0,0,0,0,0,0,0,0,0,0.0
9788,SD9379,91,91,5,0,0,0,0,0,0,0,0,0,0,0.0
9789,SE0990,44,44,2,0,0,0,0,0,0,0,0,0,0,0.0
9790,SD0287,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9791,SE0746,72,72,1,0,0,0,0,0,0,0,0,0,0,0.0
9792,SE0712,108,108,1,0,0,0,0,0,0,0,0,0,0,0.0
9793,SE0901,155,155,0,0,0,0,0,0,0,0,0,0,0,0.0
9794,SK2657,243,243,1,0,0,0,0,0,0,0,0,0,0,0.0
9795,SK5980,66,66,0,66,0,0,0,0,1,34,0,14,21,0.0
9796,SE0897,220,220,5,0,0,0,0,0,0,0,0,0,0,0.0
9797,SE0962,37,37,0,0,0,0,0,0,0,0,0,0,0,0.0
9798,SK5546,404,404,2,0,0,0,0,0,0,0,0,0,0,0.0
9799,SA8936,431,431,32,0,0,0,0,0,0,0,0,0,0,0.0
9800,SD2422,57,57,0,0,0,0,0,0,0,0,0,0,0,0.0
9801,SK2411,129,129,0,2,0,0,0,0,0,0,0,0,0,0.0
9802,SD3770,219,219,6,0,0,0,0,0,0,0,0,0,0,0.0
9803,SE0751,26,26,2,0,0,0,0,0,0,0,0,0,0,0.0
9804,SE0829,186,186,14,0,0,0,0,0,0,0,0,0,0,0.0
9805,SE1014,77,77,1,0,0,0,0,0,0,0,0,0,0,0.0
9806,SE0484,43,43,7,0,0,0,0,0,0,0,0,0,0,0.0
9807,SB3708,13,13,0,0,0,0,0,0,0,0,0,0,0,0.0
9808,SE0404,52,52,3,0,0,0,0,0,0,0,0,0,0,0.0
9809,SE1179,115,115,8,0,0,0,0,0,0,0,0,0,0,0.0
9810,SE0823,4,4,2,0,0,0,0,0,0,0,0,0,0,0.0
9811,SE0583,48,48,9,0,0,0,0,0,0,0,0,0,0,0.0
9812,SB3237,6,6,0,0,0,0,0,0,0,0,0,0,0,0.0
9813,SA2363,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
9814,SE1096,393,393,1,0,0,0,0,0,0,0,0,0,0,0.0
9815,SE1385,191,191,1,0,0,0,0,0,0,0,0,0,0,0.0
9816,SC2923,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0
9817,SA7046,451,451,77,0,0,0,0,0,0,0,0,0,0,0.0
9818,SB9601,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9819,SD5593,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
9820,SE0734,373,373,5,0,0,0,0,0,0,0,0,0,0,0.0
9821,SE1045,214,214,1,0,0,0,0,0,0,0,0,0,0,0.0
9822,SE3495,61,61,3,0,0,0,0,0,0,0,0,0,0,0.0
9823,SE0622,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
9824,SE0924,19,19,0,0,0,0,0,0,0,0,0,0,0,0.0
9825,SE0514,192,192,6,0,0,0,0,0,0,0,0,0,0,0.0
